"","Issue","State","ZIP_code","Count","Latitude","Longitude"
"144","Loan servicing，payments，escrow account","WI",54751,2,44.8553,-91.9638
"145","Loan servicing，payments，escrow account","WI",54750,1,44.6227,-92.316
"146","Loan servicing，payments，escrow account","WI",54747,1,44.3993,-91.4816
"147","Loan servicing，payments，escrow account","WI",54734,1,45.0857,-92.1239
"148","Loan servicing，payments，escrow account","WI",54730,2,45.0357,-91.738
"149","Loan servicing，payments，escrow account","WI",54729,1,44.94,-91.4219
"150","Loan servicing，payments，escrow account","WI",54703,4,44.8316,-91.4781
"151","Loan servicing，payments，escrow account","WI",54701,2,44.7459,-91.5184
"152","Loan servicing，payments，escrow account","WI",54656,3,43.9842,-90.783
"153","Loan servicing，payments，escrow account","WI",54655,1,43.3585,-90.7422
"154","Loan servicing，payments，escrow account","WI",54642,2,44.1699,-91.0395
"155","Loan servicing，payments，escrow account","WI",54636,1,44.0058,-91.246
"156","Loan servicing，payments，escrow account","WI",54628,1,43.3526,-91.047
"157","Loan servicing，payments，escrow account","WI",54615,1,44.2738,-90.7942
"158","Loan servicing，payments，escrow account","WI",54614,1,43.8967,-90.9791
"159","Loan servicing，payments，escrow account","WI",54613,2,44.0119,-89.9419
"160","Loan servicing，payments，escrow account","WI",54602,3,43.8129,-91.2494
"161","Loan servicing，payments，escrow account","WI",54601,7,43.8093,-91.1498
"162","Loan servicing，payments，escrow account","WI",54568,1,45.9589,-89.7
"163","Loan servicing，payments，escrow account","WI",54558,3,45.9251,-89.5099
"164","Loan servicing，payments，escrow account","WI",54552,2,45.9668,-90.256
"165","Loan servicing，payments，escrow account","WI",54548,1,45.8619,-89.8218
"166","Loan servicing，payments，escrow account","WI",54530,1,45.5084,-90.7237
"167","Loan servicing，payments，escrow account","WI",54526,1,45.5084,-90.8571
"168","Loan servicing，payments，escrow account","WI",54525,1,46.4305,-90.222
"169","Loan servicing，payments，escrow account","WI",54521,2,45.9146,-89.2285
"170","Loan servicing，payments，escrow account","WI",54501,3,45.6836,-89.316
"171","Loan servicing，payments，escrow account","WI",54499,1,44.8042,-89.1736
"172","Loan servicing，payments，escrow account","WI",54495,1,44.397,-89.9142
"173","Loan servicing，payments，escrow account","WI",54494,3,44.3477,-89.7387
"174","Loan servicing，payments，escrow account","WI",54491,1,45.2496,-88.7993
"175","Loan servicing，payments，escrow account","WI",54487,1,45.5052,-89.74
"176","Loan servicing，payments，escrow account","WI",54484,2,44.799,-90.081
"177","Loan servicing，payments，escrow account","WI",54482,2,44.5552,-89.5009
"178","Loan servicing，payments，escrow account","WI",54481,3,44.5336,-89.6431
"179","Loan servicing，payments，escrow account","WI",54476,4,44.8954,-89.5561
"180","Loan servicing，payments，escrow account","WI",54474,1,44.8768,-89.612
"181","Loan servicing，payments，escrow account","WI",54467,11,44.4293,-89.5368
"182","Loan servicing，payments，escrow account","WI",54458,1,44.495,-89.3094
"183","Loan servicing，payments，escrow account","WI",54457,1,44.2421,-89.8856
"184","Loan servicing，payments，escrow account","WI",54456,2,44.5552,-90.6393
